team1,powerplay_runs_team1,powerplay_wickets_team1,team2,powerplay_runs_team2,powerplay_wickets_team2,venue,pitch_type,homeground_advantage,team1_toss_win,teampoint_diff,team1_win
11,59,1,7,54,1,3,1,1,0,145,1
9,61,1,10,59,1,4,-2,0,0,-101,0
5,52,1,6,73,0,6,1,1,0,276,0
10,35,1,12,56,2,26,1,2,0,-67,0
7,41,2,3,43,2,2,1,1,1,373,1
5,40,2,11,59,1,3,1,2,0,124,0
6,59,2,9,49,0,1,2,2,0,124,0
7,23,3,12,62,1,26,1,2,1,-37,0
3,62,1,10,50,3,4,-2,0,0,-343,1
11,34,0,9,61,2,1,2,2,0,276,0
12,57,1,6,76,1,18,1,2,0,44,0
7,41,0,9,21,4,2,1,1,0,131,0
10,64,2,5,61,0,6,1,2,0,-299,0
6,40,2,11,45,0,18,1,1,0,-152,1
3,49,0,12,40,3,24,2,1,1,-410,1
5,46,1,9,56,1,1,2,2,0,400,0
10,55,0,7,49,2,2,1,2,0,-30,1
3,53,0,6,51,3,24,2,1,1,-366,0
11,29,1,12,57,2,3,1,1,0,108,1
7,45,0,5,56,2,6,1,2,0,-269,1
11,39,1,3,82,1,3,1,1,1,518,1
12,46,1,9,72,1,26,1,1,0,168,0
6,65,1,5,23,1,18,1,1,0,-276,0
9,48,2,3,55,5,1,2,1,0,242,1
11,45,0,10,50,1,4,-2,0,0,175,0
12,50,1,5,39,2,6,1,2,0,-232,1
6,65,2,7,44,4,18,1,1,0,-7,1
10,48,0,9,45,1,1,2,2,0,101,1
10,57,0,6,49,1,4,-2,0,0,-23,0
7,35,3,5,47,2,2,1,1,0,-269,0
3,53,1,6,59,1,18,1,2,0,-366,0
11,60,0,12,39,3,17,1,2,0,108,1
10,43,1,7,61,2,4,-2,0,0,-30,1
5,48,3,9,50,1,6,1,1,1,400,0
3,25,3,12,44,0,17,1,2,0,-410,0
11,79,0,6,55,2,3,1,1,0,152,1
7,52,2,9,43,1,1,2,2,1,131,0
5,55,1,10,62,4,4,-2,0,0,299,0
11,66,1,3,74,1,24,2,2,0,518,0
6,41,3,10,63,2,18,1,1,0,23,0
5,58,2,3,46,1,24,2,2,0,642,0
12,35,2,7,47,3,2,1,2,0,37,1
10,35,1,11,35,2,3,1,2,0,-175,1
9,60,0,3,35,5,24,2,2,0,242,1
7,40,3,6,58,0,2,1,1,0,7,0
12,44,1,5,43,0,17,1,1,0,-232,0
9,36,2,11,61,1,3,1,2,1,-276,0
12,41,2,6,64,1,17,1,1,0,44,1
5,50,2,3,68,2,16,1,1,0,642,0
12,71,1,9,53,0,1,2,2,0,168,1
3,54,2,10,47,2,24,2,1,1,-343,1
5,61,0,11,53,2,16,1,1,0,124,0
9,51,1,6,43,3,18,1,2,0,-124,1
12,32,5,10,42,1,4,-2,1,0,67,0
7,37,1,3,42,2,24,2,2,1,373,1
10,33,2,9,48,3,1,2,2,0,101,1
11,30,1,6,36,3,2,1,0,0,152,0
6,25,3,9,38,3,2,1,0,0,124,0
9,32,2,10,38,1,3,1,0,1,-101,1
6,61,1,7,26,4,2,1,2,0,177,1
4,53,1,12,63,1,17,1,2,1,549,1
1,40,2,3,55,1,24,2,2,1,-23,0
9,47,3,7,40,1,1,2,1,1,-707,0
11,39,2,6,26,3,18,1,2,1,-665,0
12,54,1,1,53,3,12,1,2,1,-345,0
11,25,2,3,48,1,3,1,1,1,-352,0
4,53,2,9,52,2,32,-2,1,0,752,1
11,58,2,1,73,1,3,1,2,0,-329,0
12,60,1,9,39,2,17,1,1,0,203,1
7,57,2,1,45,2,2,1,2,0,159,0
6,61,3,4,45,0,32,-2,2,1,132,0
9,27,3,11,60,0,31,1,2,0,-219,0
3,45,3,12,55,2,17,1,2,1,368,0
4,36,1,7,45,1,2,1,2,1,45,1
6,40,3,9,38,3,18,1,1,1,884,0
3,58,1,7,55,3,24,2,1,0,-136,1
11,50,1,12,41,1,3,1,1,0,16,0
1,45,1,6,51,3,12,1,1,1,-336,1
4,47,1,3,64,0,32,-2,1,1,181,0
11,41,0,7,43,1,3,1,1,1,-488,0
12,49,1,6,31,4,17,1,1,1,-681,1
9,50,2,3,37,2,31,1,1,0,-571,1
4,38,4,1,44,0,12,1,2,1,204,0
7,26,3,12,52,1,2,1,1,0,504,0
4,34,3,11,50,1,32,-2,1,0,533,0
1,48,2,9,34,0,31,1,2,0,548,0
3,50,2,4,62,0,24,2,1,0,-181,0
6,41,2,7,35,2,18,1,1,1,177,1
11,50,0,1,50,0,12,1,2,0,-329,0
7,36,2,9,39,0,2,1,1,0,707,0
4,53,2,12,35,2,32,-2,1,0,549,1
6,43,1,11,55,3,3,1,2,1,665,1
3,47,1,1,21,2,12,1,2,0,23,0
7,50,3,12,42,0,17,1,2,1,504,0
6,35,1,3,37,4,18,1,1,1,313,1
4,28,2,9,78,0,1,2,2,0,752,0
12,51,0,1,38,2,17,1,2,0,-345,1
3,48,1,11,71,1,24,2,1,0,352,1
6,27,3,9,68,2,1,2,2,0,884,0
3,68,0,12,73,3,24,2,1,1,368,0
1,51,0,7,23,3,12,1,1,0,-159,1
9,57,1,11,32,3,3,1,2,0,-219,1
6,35,2,4,43,0,18,1,1,1,132,0
7,41,1,3,71,0,2,1,1,0,136,0
6,32,1,1,42,3,18,1,2,0,336,0
12,43,1,9,68,1,1,2,2,0,203,1
7,23,2,4,44,0,32,-2,2,1,-45,1
11,42,0,12,74,0,17,1,2,0,16,0
9,60,0,3,56,2,24,2,2,0,-571,0
1,67,0,4,65,1,32,-2,2,1,-204,1
7,46,1,11,33,2,2,1,1,0,488,1
12,47,1,6,51,2,18,1,2,1,-681,0
9,29,0,1,36,2,12,1,2,0,-548,0
11,26,1,4,44,1,3,1,1,1,-533,0
1,58,0,3,28,3,1,2,0,0,-23,1
12,35,4,4,35,1,1,2,0,1,-549,0
4,42,1,1,41,1,31,1,0,0,204,0
9,40,1,4,40,2,5,1,0,0,712,1
7,29,3,1,14,2,5,1,0,1,197,1
12,67,1,3,58,0,5,1,0,0,-365,0
6,21,3,11,37,4,5,1,0,1,143,0
4,68,0,7,46,2,29,-1,0,1,-845,1
12,46,1,6,60,1,15,2,0,0,86,0
11,62,1,7,31,2,5,1,0,1,-168,1
3,59,2,4,61,1,15,2,0,1,1271,1
1,50,2,6,38,2,5,1,0,0,-172,1
7,49,3,12,44,0,15,2,0,1,-61,0
